Year,Zone,Class,Harvest,CL95
2018,APR,Antlered,12816.8054,1947.218
2019,APR,Antlered,9600.7789,1950.026
2020,APR,Antlered,11611.0446,2206.966
2021,APR,Antlered,12001.3591,2381.696
2018,Non-APR,Antlered,9345.5557,1650.898
2019,Non-APR,Antlered,10025.1591,1846.309
2020,Non-APR,Antlered,11679.2389,1941.931
2021,Non-APR,Antlered,10636.201,2110.291
2018,APR,Antlerless,10105.7497,1947.218
2019,APR,Antlerless,11308.6924,1950.026
2020,APR,Antlerless,13835.2471,2206.966
2021,APR,Antlerless,12320.2583,2381.696
2018,Non-APR,Antlerless,7789.5762,1650.898
2019,Non-APR,Antlerless,8257.8512,1846.309
2020,Non-APR,Antlerless,10172.5346,1941.931
2021,Non-APR,Antlerless,8807.0321,2110.291
